external_id,platform,source_url,creator_handle,caption_text,hashtags,publish_date,language,region_hint,duration_sec
vid_001,tiktok,https://example.com/video/dashcam-crash-001,@dashcam_daily,"Insane car crash caught on dashcam at highway intersection. The truck ran a red light and T-boned the sedan.","dashcam,carcrash,accident,highway,insurance",2025-11-15T14:30:00,en,US,47
vid_002,youtube,https://example.com/video/dashcam-crash-002,@roadwatch_cam,"Multi-car collision on icy road - dashcam footage shows chain reaction pileup during morning commute","collision,dashcam,icyroad,winterdriving,carcrash",2025-12-02T09:15:00,en,US,62
vid_003,tiktok,https://example.com/video/dashcam-crash-003,@crash_compilations,"Road rage incident leads to crash - driver swerves into oncoming traffic after confrontation","roadrage,crash,accident,dashcam,driving",2026-01-10T16:45:00,en,US,35
vid_004,instagram,https://example.com/video/kitchen-tour-001,@luxuryhomes_ig,"Luxury kitchen tour: marble island, custom cabinets, pendant lights, and professional-grade appliances. Dream kitchen goals!","luxurykitchen,hometour,interiordesign,marble,dreamhome",2026-01-20T11:00:00,en,US,94
vid_005,youtube,https://example.com/video/kitchen-tour-002,@home_design_tv,"Modern kitchen renovation reveal - white marble countertops, brass hardware, and a stunning waterfall island","kitchenrenovation,hometour,luxurykitchen,marble,interiordesign",2025-10-05T13:30:00,en,US,185
vid_006,tiktok,https://example.com/video/kitchen-tour-003,@chef_at_home,"Cooking in my new luxury kitchen - check out these cabinets and the marble backsplash! Everything is custom.","kitchen,luxury,cooking,cabinets,marble,hometour",2026-02-14T18:20:00,en,US,55
vid_007,tiktok,https://example.com/video/dogs-snow-001,@puppy_adventures,"Golden retriever puppies playing in snow for the first time! So much joy and zoomies in the winter wonderland","puppies,dogsofinstagram,snow,winter,goldenretriever,zoomies",2025-12-20T10:00:00,en,US,42
vid_008,instagram,https://example.com/video/dogs-snow-002,@dog_life_daily,"Husky dog absolutely loving the blizzard - running and jumping through deep snow drifts like a wild wolf","husky,snow,blizzard,dogsofinstagram,winter,doglife",2026-01-05T08:45:00,en,US,38
vid_009,youtube,https://example.com/video/dogs-snow-003,@pet_moments,"Compilation: dogs seeing snow for the first time - puppies playing, sliding, and having the best winter day","dogs,snow,winter,puppies,funny,compilation",2025-11-28T15:00:00,en,US,240
vid_010,tiktok,https://example.com/video/arguing-001,@public_freakouts,"Two people arguing loudly in parking lot - confrontation caught on camera escalates quickly","publicfreakout,arguing,confrontation,caught,drama",2026-02-01T20:30:00,en,US,28
vid_011,instagram,https://example.com/video/arguing-002,@street_scenes,"Street argument between neighbors over parking spot turns into full yelling match with bystanders watching","arguing,neighbors,publicscene,yelling,drama",2025-09-18T17:15:00,en,US,45
vid_012,tiktok,https://example.com/video/couple-kitchen-001,@happy_family_life,"Smiling couple cooking together at kitchen table - morning routine making breakfast with love","couple,kitchen,cooking,family,smiling,morning,love",2026-01-25T07:30:00,en,US,52
vid_013,instagram,https://example.com/video/couple-kitchen-002,@home_sweet_home,"Happy couple enjoying dinner at the kitchen table - homemade pasta night with candles and wine","couple,dinner,kitchen,homemade,familytime,smiling",2025-12-14T19:00:00,en,US,67
vid_014,youtube,https://example.com/video/couple-kitchen-003,@family_vlogs,"Family morning routine: smiling couple at kitchen table with kids, making pancakes and sharing laughs","family,couple,kitchen,morning,breakfast,smiling,kids",2026-02-20T06:45:00,en,US,310
vid_015,tiktok,https://example.com/video/dashcam-crash-004,@auto_accidents,"Rear-end collision on highway caught by dashcam - car didn't brake in time during sudden stop","dashcam,rearend,collision,highway,carcrash,braking",2026-03-01T12:00:00,en,US,22
